Farbwert;Vordergrund_Index;Vordergrund_Name;Vordergrund_Hex;Hintergrund_Index;Hintergrund_Name;Hintergrund_Hex;Beschreibung
0;0;Schwarz;#000000;0;Schwarz;#000000;Schwarz auf Schwarz
1;1;Blau;#0000AA;0;Schwarz;#000000;Blau auf Schwarz
2;2;Gruen;#00AA00;0;Schwarz;#000000;Gruen auf Schwarz
3;3;Cyan;#00AAAA;0;Schwarz;#000000;Cyan auf Schwarz
4;4;Rot;#AA0000;0;Schwarz;#000000;Rot auf Schwarz
5;5;Magenta;#AA00AA;0;Schwarz;#000000;Magenta auf Schwarz
6;6;Braun;#AA5500;0;Schwarz;#000000;Braun auf Schwarz
7;7;Hellgrau;#AAAAAA;0;Schwarz;#000000;Hellgrau auf Schwarz
8;8;Dunkelgrau;#555555;0;Schwarz;#000000;Dunkelgrau auf Schwarz
9;9;Hellblau;#5555FF;0;Schwarz;#000000;Hellblau auf Schwarz
10;10;Hellgruen;#55FF55;0;Schwarz;#000000;Hellgruen auf Schwarz
11;11;Hellcyan;#55FFFF;0;Schwarz;#000000;Hellcyan auf Schwarz
12;12;Hellrot;#FF5555;0;Schwarz;#000000;Hellrot auf Schwarz
13;13;Hellmagenta;#FF55FF;0;Schwarz;#000000;Hellmagenta auf Schwarz
14;14;Gelb;#FFFF55;0;Schwarz;#000000;Gelb auf Schwarz
15;15;Weiss;#FFFFFF;0;Schwarz;#000000;Weiss auf Schwarz
16;0;Schwarz;#000000;1;Blau;#0000AA;Schwarz auf Blau
17;1;Blau;#0000AA;1;Blau;#0000AA;Blau auf Blau
18;2;Gruen;#00AA00;1;Blau;#0000AA;Gruen auf Blau
19;3;Cyan;#00AAAA;1;Blau;#0000AA;Cyan auf Blau
20;4;Rot;#AA0000;1;Blau;#0000AA;Rot auf Blau
21;5;Magenta;#AA00AA;1;Blau;#0000AA;Magenta auf Blau
22;6;Braun;#AA5500;1;Blau;#0000AA;Braun auf Blau
23;7;Hellgrau;#AAAAAA;1;Blau;#0000AA;Hellgrau auf Blau
24;8;Dunkelgrau;#555555;1;Blau;#0000AA;Dunkelgrau auf Blau
25;9;Hellblau;#5555FF;1;Blau;#0000AA;Hellblau auf Blau
26;10;Hellgruen;#55FF55;1;Blau;#0000AA;Hellgruen auf Blau
27;11;Hellcyan;#55FFFF;1;Blau;#0000AA;Hellcyan auf Blau
28;12;Hellrot;#FF5555;1;Blau;#0000AA;Hellrot auf Blau
29;13;Hellmagenta;#FF55FF;1;Blau;#0000AA;Hellmagenta auf Blau
30;14;Gelb;#FFFF55;1;Blau;#0000AA;Gelb auf Blau
31;15;Weiss;#FFFFFF;1;Blau;#0000AA;Weiss auf Blau
32;0;Schwarz;#000000;2;Gruen;#00AA00;Schwarz auf Gruen
33;1;Blau;#0000AA;2;Gruen;#00AA00;Blau auf Gruen
34;2;Gruen;#00AA00;2;Gruen;#00AA00;Gruen auf Gruen
35;3;Cyan;#00AAAA;2;Gruen;#00AA00;Cyan auf Gruen
36;4;Rot;#AA0000;2;Gruen;#00AA00;Rot auf Gruen
37;5;Magenta;#AA00AA;2;Gruen;#00AA00;Magenta auf Gruen
38;6;Braun;#AA5500;2;Gruen;#00AA00;Braun auf Gruen
39;7;Hellgrau;#AAAAAA;2;Gruen;#00AA00;Hellgrau auf Gruen
40;8;Dunkelgrau;#555555;2;Gruen;#00AA00;Dunkelgrau auf Gruen
41;9;Hellblau;#5555FF;2;Gruen;#00AA00;Hellblau auf Gruen
42;10;Hellgruen;#55FF55;2;Gruen;#00AA00;Hellgruen auf Gruen
43;11;Hellcyan;#55FFFF;2;Gruen;#00AA00;Hellcyan auf Gruen
44;12;Hellrot;#FF5555;2;Gruen;#00AA00;Hellrot auf Gruen
45;13;Hellmagenta;#FF55FF;2;Gruen;#00AA00;Hellmagenta auf Gruen
46;14;Gelb;#FFFF55;2;Gruen;#00AA00;Gelb auf Gruen
47;15;Weiss;#FFFFFF;2;Gruen;#00AA00;Weiss auf Gruen
48;0;Schwarz;#000000;3;Cyan;#00AAAA;Schwarz auf Cyan
49;1;Blau;#0000AA;3;Cyan;#00AAAA;Blau auf Cyan
50;2;Gruen;#00AA00;3;Cyan;#00AAAA;Gruen auf Cyan
